Age,dataset
10.917,ABCD_site06
9.333,ABCD_site07
10.333,ABCD_site12
9.167,ABCD_site17
9.083,ABCD_site03
9.833,ABCD_site17
9.5,ABCD_site06
10.833,ABCD_site04
9.917,ABCD_site12
10.25,ABCD_site16
9,ABCD_site04
10.75,ABCD_site16
9.25,ABCD_site02
10.167,ABCD_site02
9.083,ABCD_site05
9.667,ABCD_site16
9.083,ABCD_site01
9.667,ABCD_site12
9.75,ABCD_site02
9.833,ABCD_site14
10.167,ABCD_site06
10.833,ABCD_site02
9.5,ABCD_site13
10.667,ABCD_site19
10.5,ABCD_site11
9.583,ABCD_site13
10.667,ABCD_site09
9.917,ABCD_site17
10,ABCD_site08
9.25,ABCD_site06
10.667,ABCD_site14
9.333,ABCD_site11
10.833,ABCD_site15
10.833,ABCD_site08
9.167,ABCD_site11
10.25,ABCD_site15
10.25,ABCD_site10
9.25,ABCD_site16
11,ABCD_site18
10.667,ABCD_site20
9.083,ABCD_site17
10.417,ABCD_site03
10.75,ABCD_site16
9.75,ABCD_site16
10.917,ABCD_site11
9,ABCD_site10
10.667,ABCD_site16
9.667,ABCD_site17
10.667,ABCD_site12
9.917,ABCD_site16
10.417,ABCD_site13
10.25,ABCD_site02
10.167,ABCD_site06
9.917,ABCD_site08
9.167,ABCD_site16
10.583,ABCD_site14
10.25,ABCD_site06
9.083,ABCD_site16
9.667,ABCD_site02
10.583,ABCD_site06
10,ABCD_site20
9.833,ABCD_site04
9.083,ABCD_site16
10.5,ABCD_site11
10.583,ABCD_site11
9.833,ABCD_site04
9.917,ABCD_site20
10.833,ABCD_site21
9,ABCD_site16
9.5,ABCD_site07
10.083,ABCD_site15
9.417,ABCD_site06
10.25,ABCD_site03
9.833,ABCD_site08
9.917,ABCD_site06
9.833,ABCD_site13
9,ABCD_site13
9.833,ABCD_site13
9.75,ABCD_site15
10.417,ABCD_site07
11,ABCD_site14
10.5,ABCD_site05
10.5,ABCD_site21
9.75,ABCD_site19
10.333,ABCD_site09
9.75,ABCD_site05
10.583,ABCD_site21
8.917,ABCD_site13
10,ABCD_site18
10.5,ABCD_site16
10.25,ABCD_site21
10.917,ABCD_site16
9.083,ABCD_site11
9.833,ABCD_site19
10.167,ABCD_site14
10.75,ABCD_site16
9,ABCD_site16
8.917,ABCD_site13
10.333,ABCD_site11
10.667,ABCD_site05
9.25,ABCD_site16
10.917,ABCD_site21
10.667,ABCD_site20
10.833,ABCD_site20
10.833,ABCD_site14
10.667,ABCD_site09
9.583,ABCD_site14
9,ABCD_site07
10.75,ABCD_site02
9.583,ABCD_site16
10.667,ABCD_site04
10.583,ABCD_site11
9.917,ABCD_site08
10.25,ABCD_site17
10,ABCD_site02
10.75,ABCD_site09
10.75,ABCD_site20
10.833,ABCD_site06
10.917,ABCD_site03
10,ABCD_site04
9.917,ABCD_site17
10.917,ABCD_site17
10.333,ABCD_site03
10.75,ABCD_site03
9.667,ABCD_site05
9,ABCD_site10
9.167,ABCD_site03
10.167,ABCD_site03
10.75,ABCD_site21
10.917,ABCD_site04
9.333,ABCD_site21
9.667,ABCD_site18
9.833,ABCD_site10
8.917,ABCD_site03
10.583,ABCD_site18
10.583,ABCD_site20
9.667,ABCD_site12
10,ABCD_site15
9.25,ABCD_site02
11,ABCD_site04
9.5,ABCD_site14
9,ABCD_site04
9.667,ABCD_site19
9.917,ABCD_site13
10.917,ABCD_site12
10.75,ABCD_site11
9.667,ABCD_site13
9.333,ABCD_site15
10.917,ABCD_site01
9.083,ABCD_site06
10.083,ABCD_site17
10.083,ABCD_site11
10,ABCD_site19
9.583,ABCD_site19
10.667,ABCD_site03
10.417,ABCD_site10
9.167,ABCD_site07
9,ABCD_site05
9.833,ABCD_site05
10.667,ABCD_site14
10.083,ABCD_site21
10.417,ABCD_site02
9.5,ABCD_site17
9.667,ABCD_site02
9.833,ABCD_site05
9.833,ABCD_site08
9.25,ABCD_site12
9.25,ABCD_site12
10.75,ABCD_site10
10.417,ABCD_site13
10.75,ABCD_site06
9.917,ABCD_site18
9,ABCD_site03
9.5,ABCD_site04
10.167,ABCD_site13
10.75,ABCD_site10
10.583,ABCD_site13
9.083,ABCD_site05
9.167,ABCD_site16
10.25,ABCD_site17
10.167,ABCD_site10
9.583,ABCD_site07
10,ABCD_site06
9.5,ABCD_site20
10.75,ABCD_site16
9.75,ABCD_site06
9.333,ABCD_site08
10.75,ABCD_site03
9.75,ABCD_site19
9.75,ABCD_site07
9.083,ABCD_site13
10.417,ABCD_site17
10,ABCD_site03
9.083,ABCD_site13
10.083,ABCD_site21
9.5,ABCD_site02
10,ABCD_site14
10.167,ABCD_site16
10.167,ABCD_site17
10.167,ABCD_site04
9.583,ABCD_site05
10.917,ABCD_site02
9.083,ABCD_site04
10.083,ABCD_site19
10.083,ABCD_site15
10.75,ABCD_site12
10.25,ABCD_site16
9.167,ABCD_site16
10.083,ABCD_site02
9.25,ABCD_site14
10.417,ABCD_site19
10.833,ABCD_site02
10.667,ABCD_site03
10.917,ABCD_site18
11,ABCD_site03
10.583,ABCD_site13
9,ABCD_site11
10.5,ABCD_site02
10.75,ABCD_site03
9.083,ABCD_site13
9.25,ABCD_site04
10.917,ABCD_site13
10.917,ABCD_site08
10.167,ABCD_site09
9,ABCD_site12
10.667,ABCD_site03
9.667,ABCD_site13
9.75,ABCD_site08
10.167,ABCD_site09
9.75,ABCD_site14
9.5,ABCD_site04
10.25,ABCD_site06
9.5,ABCD_site19
9.083,ABCD_site16
10.167,ABCD_site09
9,ABCD_site13
10.417,ABCD_site06
9.5,ABCD_site12
9.083,ABCD_site12
10.25,ABCD_site03
10.083,ABCD_site07
10.25,ABCD_site21
9.25,ABCD_site09
10.917,ABCD_site05
9.833,ABCD_site14
9.667,ABCD_site16
10.5,ABCD_site20
9.333,ABCD_site16
9.333,ABCD_site02
10.167,ABCD_site02
10.833,ABCD_site20
10.75,ABCD_site02
9.417,ABCD_site03
10.75,ABCD_site03
10.417,ABCD_site17
10.833,ABCD_site12
10.167,ABCD_site16
9.167,ABCD_site02
11,ABCD_site07
9.583,ABCD_site11
9.167,ABCD_site03
10.917,ABCD_site03
10.083,ABCD_site20
10.917,ABCD_site04
9.333,ABCD_site09
9.25,ABCD_site04
10.333,ABCD_site08
9.917,ABCD_site15
9.25,ABCD_site10
10.333,ABCD_site12
10.167,ABCD_site16
9,ABCD_site17
10.167,ABCD_site18
9.917,ABCD_site12
9.25,ABCD_site14
9.25,ABCD_site17
9.917,ABCD_site02
10.667,ABCD_site14
9.5,ABCD_site16
9,ABCD_site16
10.417,ABCD_site16
9.167,ABCD_site21
10.75,ABCD_site08
9.083,ABCD_site13
10,ABCD_site21
10.417,ABCD_site16
9.167,ABCD_site11
9.417,ABCD_site02
9.833,ABCD_site19
9.25,ABCD_site17
10.667,ABCD_site02
9,ABCD_site10
9.083,ABCD_site14
9,ABCD_site07
10.833,ABCD_site02
9.75,ABCD_site14
9.083,ABCD_site11
10.583,ABCD_site16
10.667,ABCD_site19
9.667,ABCD_site12
10.583,ABCD_site18
9.583,ABCD_site11
9.5,ABCD_site17
10.333,ABCD_site08
10.917,ABCD_site12
10.5,ABCD_site19
9.25,ABCD_site16
10.083,ABCD_site06
10.75,ABCD_site12
10,ABCD_site16
9.333,ABCD_site19
9.25,ABCD_site11
9.083,ABCD_site01
10.583,ABCD_site14
9.5,ABCD_site03
9.75,ABCD_site20
11,ABCD_site16
10.333,ABCD_site16
9.25,ABCD_site06
10.5,ABCD_site08
10.75,ABCD_site03
9,ABCD_site05
10.417,ABCD_site04
10.667,ABCD_site20
10.25,ABCD_site03
9.25,ABCD_site18
9.833,ABCD_site16
10.25,ABCD_site10
9.417,ABCD_site18
9.5,ABCD_site10
9.083,ABCD_site17
9.167,ABCD_site06
9.917,ABCD_site16
10.75,ABCD_site10
10.25,ABCD_site16
9.333,ABCD_site04
10.667,ABCD_site09
10.5,ABCD_site19
10.917,ABCD_site09
10.333,ABCD_site04
10.25,ABCD_site04
10.75,ABCD_site04
9.083,ABCD_site12
10.583,ABCD_site20
10.333,ABCD_site04
9.583,ABCD_site12
9.083,ABCD_site17
9,ABCD_site21
10.25,ABCD_site02
9.75,ABCD_site13
10.417,ABCD_site20
9,ABCD_site16
9.25,ABCD_site17
10.5,ABCD_site04
9.333,ABCD_site09
10.75,ABCD_site08
9.167,ABCD_site07
10.833,ABCD_site13
10,ABCD_site20
10.75,ABCD_site03
10,ABCD_site04
9.917,ABCD_site18
10.583,ABCD_site20
9.5,ABCD_site17
10.167,ABCD_site21
9,ABCD_site12
10.417,ABCD_site19
9.25,ABCD_site12
10.333,ABCD_site21
9.333,ABCD_site02
10.417,ABCD_site03
10.083,ABCD_site20
10.75,ABCD_site18
10.583,ABCD_site16
10.167,ABCD_site04
10.417,ABCD_site04
9.833,ABCD_site03
10.917,ABCD_site06
10.667,ABCD_site17
9,ABCD_site16
9.583,ABCD_site02
9.833,ABCD_site07
10.25,ABCD_site16
9,ABCD_site15
10.917,ABCD_site20
10.583,ABCD_site14
9.583,ABCD_site13
9.083,ABCD_site20
9.5,ABCD_site04
9.417,ABCD_site12
10.5,ABCD_site09
9.75,ABCD_site04
9.833,ABCD_site17
10,ABCD_site13
10.583,ABCD_site20
10.417,ABCD_site21
9.583,ABCD_site02
10,ABCD_site20
9.167,ABCD_site18
10.833,ABCD_site10
10.833,ABCD_site13
9.667,ABCD_site10
10.417,ABCD_site20
10.917,ABCD_site15
9,ABCD_site03
10.167,ABCD_site17
10.417,ABCD_site11
9.333,ABCD_site10
10.583,ABCD_site20
9.667,ABCD_site16
9.083,ABCD_site17
9.417,ABCD_site16
10.167,ABCD_site12
9.667,ABCD_site20
10.917,ABCD_site14
9,ABCD_site10
9.583,ABCD_site13
10,ABCD_site10
9.75,ABCD_site06
9.75,ABCD_site05
10.25,ABCD_site03
9.083,ABCD_site06
10.417,ABCD_site13
10.833,ABCD_site21
9.417,ABCD_site04
9.083,ABCD_site16
10.833,ABCD_site02
10.083,ABCD_site21
10.917,ABCD_site09
9.333,ABCD_site09
10.917,ABCD_site16
9.917,ABCD_site16
10.917,ABCD_site02
10.417,ABCD_site10
9.583,ABCD_site02
9.417,ABCD_site16
10.667,ABCD_site02
